25;1;3687642;2522388;9852230
25;2;3779225;2559124;14920472
25;3;3576528;2550534;11418490
25;4;3420847;2441023;10442528
25;5;3578508;2488095;11202541
25;6;3614799;2541524;9873531
25;7;3352703;2582731;11336287
25;8;3223468;2536356;10179855
25;9;3376504;2545715;13568484
25;10;3494670;2501785;16151563
25;11;3219961;2486629;10655404
25;12;3631228;2575397;15292167
25;13;3663391;2592369;10658827
25;14;3556675;2405403;13132954
25;15;3504626;2559753;10683760
25;16;3674432;2585174;9529284
25;17;3366348;2630362;9631741
25;18;3370051;2467772;11436858
25;19;3469408;2488305;11528211
25;20;3214071;2471124;10289995
25;21;3237586;2500528;10931557
25;22;3291809;2458762;11504534
25;23;3224685;2444514;10790059
25;24;3517790;2448775;12749315
25;25;3390485;2467772;11416185


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
26;1;3468846;2504857;10740681
26;2;3551704;2578959;11285512
26;3;4222673;2627708;12634637
26;4;3661166;2608083;10565728
26;5;3499141;2470495;15148504
26;6;3298843;2591182;10514325
26;7;3224556;2499480;10447975
26;8;3199238;2453244;11295220
26;9;3347547;2371810;11130465
26;10;3211484;2475244;10146820
26;11;3209393;2425936;9920883
26;12;3497332;2524552;10618249
26;13;3533987;2479155;13251823
26;14;3853669;2522318;16010974
26;15;3674934;2700482;10035983
26;16;3498423;2570089;10952300
26;17;3643059;2468121;10941824
26;18;3643037;2494590;10887697
26;19;3359743;2437810;11457113
26;20;3302973;2573790;9827506
26;21;3180635;2550953;11185709
26;22;3232454;2419860;9666313
26;23;3356969;2462394;9967956
26;24;3437214;2479155;12609354
26;25;3594120;2514077;13561011


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
27;1;3445233;2468470;11250522
27;2;3628260;2589156;11575075
27;3;3564348;2525810;11571722
27;4;3984698;2625194;11001678
27;5;3766779;2530699;11399842
27;6;3497984;2627150;10313671
27;7;3244304;2347785;8961125
27;8;3332496;2576515;11985741
27;9;3261721;2530070;11080598
27;10;3243509;2481461;13748256
27;11;3163629;2549695;9783995
27;12;3318634;2507930;10990922
27;13;3619304;2517429;11388877
27;14;3574237;2481321;12506338
27;15;3484306;2552210;10335880
27;16;3545964;2533632;11481906
27;17;3827107;2529092;9563157
27;18;3583388;2466515;10240198
27;19;3378576;2488445;10895658
27;20;3290337;2438229;14728827
27;21;3258239;2426705;11880211
27;22;3412302;2481879;10983379
27;23;3335142;2499969;9918509
27;24;3323539;2481879;13797284
27;25;3477020;2506534;10129360


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
28;1;3527794;2535937;10365843
28;2;3273648;2497594;11546370
28;3;4110161;2826965;11673481
28;4;3784736;2495988;11321690
28;5;3654297;2487817;11344110
28;6;3715673;2520851;10108407
28;7;3360483;2510096;9298808
28;8;3164557;2476921;11186338
28;9;3374409;2510514;10382534
28;10;3282881;2453594;12007183
28;11;3429550;2588597;11468078
28;12;3329595;2452616;11767208
28;13;3355601;2508489;12986707
28;14;3652488;2458413;13396185
28;15;3915359;2556120;15580053
28;16;4007494;2829969;11205126
28;17;4046720;2535378;9715062
28;18;3507388;2502483;10875964
28;19;3390711;2493473;10328408
28;20;3270054;2489492;9725607
28;21;3374892;2434876;9987233
28;22;3460073;2615137;14322980
28;23;3204470;2511073;11442795
28;24;3509642;2555074;11486865
28;25;3412157;2422096;9794401


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
29;1;3364188;2521271;12190237
29;2;3889489;2668775;12576459
29;3;3914034;2641397;11875183
29;4;3723489;2753562;10709601
29;5;3498290;2474616;11015715
29;6;3339592;2489213;11390763
29;7;3622922;2526439;11452363
29;8;3188820;2463790;9673157
29;9;3228819;2473917;11541480
29;10;3404570;2531606;15791183
29;11;3243896;2483346;10687531
29;12;3358340;2584756;10378623
29;13;3360818;2506464;12121093
29;14;3544189;2563943;9950357
29;15;3590955;2613321;11822592
29;16;3929532;2559962;12676122
29;17;3694964;2462184;11905843
29;18;3749602;2539988;11601684
29;19;3457512;2534330;11384687
29;20;3266940;2458413;10252071
29;21;3200350;2427473;10433658
29;22;3396247;2515194;11833277
29;23;3307249;2505765;10972833
29;24;3388357;2440743;9793145
29;25;3737148;2579517;11872948


THREAD; REPETITION; AVERAGE; MIN; MAX (nanoseconds)
30;1;3516620;2563314;11953056
30;2;3578257;2541105;11572001
30;3;3821335;2687492;16380084
30;4;3506282;2519873;9975709
30;5;3640489;2535657;13694966
30;6;3399662;2521690;10190750
30;7;3601054;2464350;9548629
30;8;3274635;2497035;10375620
30;9;3305498;2486629;11664820
30;10;3318460;2441023;12227671
30;11;3321734;2478038;11717620
30;12;3336267;2461346;10015309
